FUSION_ID,BOTH_EXACT,BOTH_INEXACT_EQUAL,SAM_A_ONLY_EXACT,SAM_B_ONLY_EXACT,SAM_A_EXACT_SAM_B_INEXACT,SAM_B_EXACT_SAM_A_INEXACT,SAM_A_ONLY_SINGLE_INEXACT,SAM_B_ONLY_SINGLE_INEXACT,SAM_A_INEXACT_BETTER,SAM_B_INEXACT_BETTER
Tpr_TRINITY_DN11732_c3_g2|Tdu_TRINITY_DN17099_c2_g2,17,8,1,0,0,4,0,0,1,1
Tpr_TRINITY_DN13697_c1_g2|Tdu_TRINITY_DN16915_c6_g1,13,1,34,14,0,1,19,6,2,4
Tpr_TRINITY_DN10107_c0_g1|Tdu_TRINITY_DN19986_c5_g1,8,1,22,8,6,1,1,0,0,0
Tpr_TRINITY_DN13082_c0_g7|Tdu_TRINITY_DN20860_c5_g5,20,1,123,0,9,0,0,1,1,1
Tpr_TRINITY_DN15171_c0_g7|Tdu_TRINITY_DN23860_c1_g4,22,0,18,8,0,0,0,0,0,0
Tpr_TRINITY_DN11605_c4_g2|Tdu_TRINITY_DN11233_c0_g1,29,3,0,18,0,1,0,2,0,0
Tpr_TRINITY_DN9291_c0_g1|Tdu_TRINITY_DN15472_c0_g1,34,20,16,0,2,1,0,1,10,2
Tpr_TRINITY_DN11804_c0_g9|Tdu_TRINITY_DN21590_c2_g1,33,3,0,86,0,8,1,9,1,1
Tpr_TRINITY_DN10219_c6_g1|Tdu_TRINITY_DN19995_c0_g1,88,18,0,68,0,8,0,10,3,0
Tpr_TRINITY_DN37142_c0_g1|Tdu_TRINITY_DN45271_c0_g1,0,0,0,0,0,0,0,0,0,0
Tpr_TRINITY_DN11290_c2_g2|Tdu_TRINITY_DN19466_c5_g2,50,2,1,95,0,7,0,6,2,4
Tpr_TRINITY_DN11779_c3_g2|Tdu_TRINITY_DN16840_c3_g3,110,28,2,141,0,14,2,83,0,0
Tpr_TRINITY_DN10516_c1_g3|Tdu_TRINITY_DN19561_c1_g1,137,37,1,2,11,3,3,2,23,24
