FUSION_ID,BOTH_EXACT,BOTH_INEXACT_EQUAL,SAM_A_ONLY_EXACT,SAM_B_ONLY_EXACT,SAM_A_EXACT_SAM_B_INEXACT,SAM_B_EXACT_SAM_A_INEXACT,SAM_A_ONLY_SINGLE_INEXACT,SAM_B_ONLY_SINGLE_INEXACT,SAM_A_INEXACT_BETTER,SAM_B_INEXACT_BETTER
Tpr_TRINITY_DN11644_c3_g2|Tdu_TRINITY_DN21579_c2_g4,14,3,0,0,2,0,3,0,0,0
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2,48,5,80,0,5,0,5,0,4,0
Tpr_TRINITY_DN9794_c0_g1|Tdu_TRINITY_DN20912_c0_g2,8,6,0,16,4,1,1,1,0,0
Tpr_TRINITY_DN7892_c0_g1|Tdu_TRINITY_DN10927_c0_g1,4,0,0,0,0,0,0,0,0,1
Tpr_TRINITY_DN10912_c0_g1|Tdu_TRINITY_DN18326_c0_g1,5,0,0,1,0,0,0,1,0,0
Tpr_TRINITY_DN11422_c2_g1|Tdu_TRINITY_DN19448_c0_g2,18,1,9,31,5,0,2,20,0,0
Tpr_TRINITY_DN10598_c0_g4|Tdu_TRINITY_DN13963_c0_g1,7,1,0,0,0,0,0,0,2,0
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4,72,26,38,3,28,0,1,0,2,0
Tpr_TRINITY_DN11701_c6_g1|Tdu_TRINITY_DN12468_c0_g1,4,0,0,0,0,0,0,0,0,0
Tpr_TRINITY_DN12542_c1_g1|Tdu_TRINITY_DN21845_c1_g1,2,0,1,0,0,0,2,0,0,0
Tpr_TRINITY_DN10379_c2_g1|Tdu_TRINITY_DN23200_c5_g2,5,1,0,1,0,0,0,0,1,0
Tpr_TRINITY_DN30976_c0_g1|Tdu_TRINITY_DN6594_c0_g1,6,0,0,0,2,0,1,0,0,0
Tpr_TRINITY_DN14803_c3_g1|Tdu_TRINITY_DN23572_c6_g1,18,3,3,129,0,10,3,3,0,2
Tpr_TRINITY_DN1754_c0_g1|Tdu_TRINITY_DN28020_c0_g1,2,0,17,0,1,0,0,0,0,0
Tpr_TRINITY_DN9404_c0_g1|Tdu_TRINITY_DN9708_c0_g1,1,0,4,0,0,0,0,0,0,0
Tpr_TRINITY_DN13683_c4_g1|Tdu_TRINITY_DN22426_c1_g1,18,4,0,25,0,1,2,1,1,2
Tpr_TRINITY_DN1379_c0_g1|Tdu_TRINITY_DN10898_c0_g1,3,0,5,0,3,0,3,0,0,0
Tpr_TRINITY_DN16433_c0_g1|Tdu_TRINITY_DN15338_c0_g1,1,1,0,0,0,0,0,0,0,0
Tpr_TRINITY_DN10334_c5_g3|Tdu_TRINITY_DN16861_c0_g1,54,12,2,0,0,0,2,0,7,5
Tpr_TRINITY_DN11732_c3_g2|Tdu_TRINITY_DN17099_c2_g2,17,2,1,0,5,1,0,0,0,1
Tpr_TRINITY_DN13697_c1_g2|Tdu_TRINITY_DN16915_c6_g1,31,0,145,0,7,1,25,1,2,1
Tpr_TRINITY_DN10107_c0_g1|Tdu_TRINITY_DN19986_c5_g1,28,1,67,47,3,1,7,2,1,0
