	Tdu_1	Tdu_2	Tdu_3	Tdu_4	Tdu_5	Tdu_6	Tpr_1	Tpr_2	Tpr_3	Tms_1	Tms_2	Tms_3
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1	84.079726266264	80.9801802016854	78.7181801742978	109.563169473272	89.4204406318567	113.162192119122	119.954244841618	108.076662666065	97.9321718683003	94.9881153294714	108.341782984072	67.0717151285118
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5	143.483880693516	161.960360403371	179.835842512014	182.949820724238	130.276331610205	222.583485325215	237.579281045535	251.137678565075	257.385836320533	196.007222108433	256.686685839185	207.602927778727
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1	32.9007624520164	47.547995714751	37.1191418708071	44.4454366731199	27.7511712305762	43.9555622280888	24.4566906958639	15.6180148361365	22.5997319696078	16.5852264860982	50.0038998388023	22.3572383761706
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	87.7353665387103	104.011240626018	90.8778990630105	82.6891845081301	97.1290993070168	101.004270651778	164.209208957943	124.944118689092	149.409339132407	48.247931595922	71.6722564356166	80.9119103137603
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3	706.45248265024	816.48823891424	624.62555975703	836.194378338466	857.973710545315	858.536300540117	874.617843456847	800.267080203635	878.878465484746	545.804726178867	675.052647823831	529.121308236037
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3	45.6955034055783	34.1751219199773	46.0789347361743	28.9412145778455	37.0015616407683	36.4737644020311	40.7611511597731	73.7170300265644	69.0547365738015	126.650820439295	66.6718664517363	99.0106270944698
Tpr_TRINITY_DN21120_c0_g1|Tdu_TRINITY_DN19044_c2_g2	0	0	5.75986684202179	0	5.39606107261204	1.87044945651442	0	0	0	1.50774786237256	0	0
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1	56.6624242229171	50.519745446923	72.958313332276	19.6386813206809	49.3354155210244	41.1498880433171	60.5594245802344	38.7326767936186	41.4328419442809	24.123965797961	36.669526548455	17.0340863818443
Tpr_TRINITY_DN38363_c0_g1|Tdu_TRINITY_DN14954_c0_g1	1.82782013622313	0.742937433042985	0.639985204669088	0	0	0	0	0	0	0	3.33359332258682	6.3877823931916
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1	55.7485141548055	46.805058281708	52.4787867828652	67.1849624128557	40.8558909783483	46.7612364128604	73.3700720875917	57.4742945969824	69.0547365738015	70.8641495315104	100.007799677605	78.7826495160297
