commonID	Tml_1	Tml_2	Tml_3	Tms_1	Tms_2	Tms_3
Tpr_TRINITY_DN15171_c0_g7|Tdu_TRINITY_DN23860_c1_g4	0	69.3948592996362	6.14457092035295	0.921949128729645	0	0
Tpr_TRINITY_DN12636_c2_g10|Tdu_TRINITY_DN19969_c1_g5	2.64027916141457	408.083202448607	64.517994663706	8.2975421585668	14.4417016232739	33.2504131610058
Tpr_TRINITY_DN12563_c2_g5|Tdu_TRINITY_DN14402_c0_g1	1.32013958070729	69.3948592996362	4.09638061356864	0	0	0.651968885509918
Tpr_TRINITY_DN12330_c1_g6|Tdu_TRINITY_DN22079_c1_g1	3.96041874212186	192.648415369139	27.6505691415883	13.8292369309447	7.22085081163693	8.47559551162893
Tpr_TRINITY_DN11715_c3_g3|Tdu_TRINITY_DN17458_c2_g1	2.64027916141457	146.039927779831	6.14457092035295	2.76584738618893	1.03155011594813	1.30393777101984
Tpr_TRINITY_DN14330_c1_g6|Tdu_TRINITY_DN18647_c0_g2	3.96041874212186	90.1097426726619	8.19276122713727	5.53169477237787	2.06310023189627	2.60787554203967
Tpr_TRINITY_DN10274_c0_g15|Tdu_TRINITY_DN17180_c3_g1	0	35.2153017341437	4.09638061356864	0.921949128729645	0	0
Tpr_TRINITY_DN10825_c1_g4|Tdu_TRINITY_DN14723_c0_g1	0	167.790555321508	25.602378834804	4.60974564364822	2.06310023189627	7.1716577406091
Tpr_TRINITY_DN11165_c1_g6|Tdu_TRINITY_DN22103_c1_g1	3.96041874212186	158.468857803647	12.2891418407059	7.37559302983716	2.06310023189627	1.30393777101984
Tpr_TRINITY_DN11650_c4_g7|Tdu_TRINITY_DN21988_c4_g2	73.927816519608	382.189598232325	133.132369940981	68.2242355259937	41.2620046379253	70.4126396350711
Tpr_TRINITY_DN14962_c1_g1|Tdu_TRINITY_DN21180_c0_g2	1.32013958070729	91.1454868413132	8.19276122713727	2.76584738618893	1.03155011594813	2.60787554203967
Tpr_TRINITY_DN14326_c3_g1|Tdu_TRINITY_DN20239_c7_g1	5.28055832282914	54.8944409385182	7.16866607374511	0.921949128729645	1.03155011594813	1.95590665652975
Tpr_TRINITY_DN11579_c1_g6|Tdu_TRINITY_DN16108_c0_g1	0	70.4306034682875	8.19276122713727	1.84389825745929	0	3.91181331305951
Tpr_TRINITY_DN10752_c4_g2|Tdu_TRINITY_DN23304_c0_g1	5.28055832282914	116.003346888944	10.2409515339216	8.2975421585668	3.0946503478444	1.30393777101984
Tpr_TRINITY_DN15171_c0_g8|Tdu_TRINITY_DN23860_c1_g1	44.8847457440477	659.769035430869	75.7830413510198	26.7365247331597	9.28395104353319	12.3874088246884
Tpr_TRINITY_DN15005_c3_g1|Tdu_TRINITY_DN21954_c3_g1	3.96041874212186	53.8586967698669	5.1204757669608	0.921949128729645	2.06310023189627	0.651968885509918
Tpr_TRINITY_DN15098_c1_g2|Tdu_TRINITY_DN18284_c0_g6	1.32013958070729	42.4655109147027	8.19276122713727	0.921949128729645	0	1.95590665652975
Tpr_TRINITY_DN8442_c0_g1|Tdu_TRINITY_DN12921_c0_g1	7.92083748424371	218.542019585421	12.2891418407059	5.53169477237787	6.1893006956888	3.25984442754959
Tpr_TRINITY_DN11437_c0_g1|Tdu_TRINITY_DN9625_c0_g1	1.32013958070729	32.1080692281899	6.14457092035295	0	1.03155011594813	0
Tpr_TRINITY_DN6315_c0_g1|Tdu_TRINITY_DN19516_c4_g1	52.8055832282914	171.933531996113	129.035989327412	34.1121177629968	19.5994522030145	63.240981894462
Tpr_TRINITY_DN892_c0_g1|Tdu_TRINITY_DN14348_c0_g1	1.32013958070729	29.000836722236	3.07228546017648	0	0	0
Tpr_TRINITY_DN11535_c1_g1|Tdu_TRINITY_DN21353_c2_g6	6.60069790353643	178.147997008021	11.2650466873137	7.37559302983716	3.0946503478444	3.91181331305951
Tpr_TRINITY_DN13971_c0_g6|Tdu_TRINITY_DN4208_c0_g1	1.32013958070729	79.752300986149	9.21685638052943	6.45364390110751	2.06310023189627	2.60787554203967
Tpr_TRINITY_DN14962_c2_g2|Tdu_TRINITY_DN16874_c0_g1	35.6437686790967	393.582784087489	114.698657179922	39.6438125353747	31.9780535943921	13.6913465957083
Tpr_TRINITY_DN13710_c3_g2|Tdu_TRINITY_DN17548_c7_g2	151.816051781338	373.903644883114	451.625962645942	128.150928893421	48.4828554495622	147.996937010751
Tpr_TRINITY_DN10341_c1_g1|Tdu_TRINITY_DN19734_c3_g1	0	30.0365808908873	3.07228546017648	0	0	0
Tpr_TRINITY_DN1383_c0_g1|Tdu_TRINITY_DN21504_c0_g1	2.64027916141457	102.538672696477	7.16866607374511	0.921949128729645	1.03155011594813	0
Tpr_TRINITY_DN10219_c0_g1|Tdu_TRINITY_DN20635_c0_g1	7.92083748424371	246.507112139006	28.6746642949805	12.907287802215	10.3155011594813	10.4315021681587
Tpr_TRINITY_DN12438_c6_g3|Tdu_TRINITY_DN16966_c4_g1	50.1653040668769	250.650088813611	15.3614273008824	15.673135188404	9.28395104353319	9.12756439713885
Tpr_TRINITY_DN14784_c2_g4|Tdu_TRINITY_DN15596_c0_g1	10.5611166456583	118.074835226247	8.19276122713727	7.37559302983716	1.03155011594813	5.21575108407934
Tpr_TRINITY_DN12251_c1_g4|Tdu_TRINITY_DN22246_c1_g1	5.28055832282914	388.404063244232	25.602378834804	5.53169477237787	4.12620046379253	4.56378219856943
