FUSION_ID,Tml_1,Tml_2,Tml_3,Tms_1,Tms_2,Tms_3
Tpr_TRINITY_DN37142_c0_g1|Tdu_TRINITY_DN45271_c0_g1,0,2,0,5,2,6
Tpr_TRINITY_DN11290_c2_g2|Tdu_TRINITY_DN19466_c5_g2,5,27,32,25,45,40
Tpr_TRINITY_DN11779_c3_g2|Tdu_TRINITY_DN16840_c3_g3,8,36,21,39,17,49
Tpr_TRINITY_DN10516_c1_g3|Tdu_TRINITY_DN19561_c1_g1,83,91,123,180,103,208
Tpr_TRINITY_DN9937_c0_g1|Tdu_TRINITY_DN32303_c0_g1,0,2,4,1,0,1
Tpr_TRINITY_DN6712_c0_g1|Tdu_TRINITY_DN15013_c0_g2,1,0,0,0,0,0
Tpr_TRINITY_DN12927_c1_g1|Tdu_TRINITY_DN22980_c2_g1,7,7,7,14,10,5
Tpr_TRINITY_DN11462_c1_g3|Tdu_TRINITY_DN18955_c5_g2,14,17,30,21,7,12
Tpr_TRINITY_DN14614_c1_g6|Tdu_TRINITY_DN1401_c0_g1,46,11,26,26,26,26
Tpr_TRINITY_DN13868_c2_g1|Tdu_TRINITY_DN24297_c1_g3,1,22,22,29,18,33
Tpr_TRINITY_DN15138_c2_g2|Tdu_TRINITY_DN19397_c1_g1,6,28,7,8,2,8
Tpr_TRINITY_DN12667_c4_g3|Tdu_TRINITY_DN18652_c6_g1,12,37,60,48,20,55
Tpr_TRINITY_DN13277_c0_g1|Tdu_TRINITY_DN14226_c0_g1,2,1,0,0,0,1
Tpr_TRINITY_DN12935_c0_g1|Tdu_TRINITY_DN23885_c2_g4,8,9,9,7,3,16
Tpr_TRINITY_DN11436_c1_g7|Tdu_TRINITY_DN21318_c0_g1,19,11,12,20,23,26
Tpr_TRINITY_DN12744_c2_g1|Tdu_TRINITY_DN24940_c1_g1,59,71,58,50,69,40
Tpr_TRINITY_DN13468_c0_g1|Tdu_TRINITY_DN18421_c6_g3,14,31,14,16,14,19
Tpr_TRINITY_DN30483_c0_g1|Tdu_TRINITY_DN9825_c0_g1,1,7,2,18,15,11
Tpr_TRINITY_DN515_c0_g1|Tdu_TRINITY_DN16868_c4_g5,43,31,59,130,61,86
Tpr_TRINITY_DN13052_c1_g1|Tdu_TRINITY_DN19025_c1_g1,122,149,165,189,139,216
Tpr_TRINITY_DN15806_c0_g1|Tdu_TRINITY_DN17874_c1_g4,0,2,9,2,0,9
