logFC	AveExpr	t	P.Value	adj.P.Val	B
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1	-0.351275006746386	7.01566794841511	-1.11717953731726	0.295130702257255	0.878360661381158	-4.58806691972725
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5	0.0966179644120775	8.10613781253843	0.35828963451852	0.729045621741341	0.944210963647303	-4.63770575915998
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1	-0.0805011806129787	5.15901005411827	-0.138392585957576	0.893220551141352	0.979250567257161	-4.61726450164122
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	-0.288163272747325	6.57655149018947	-0.795696262260318	0.44830800131699	0.888074954018225	-4.60825057847087
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3	-0.0883088853244978	9.60628299922982	-0.338336027318832	0.743488105908306	0.946407566766416	-4.64029012940377
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3	1.0787952508624	6.40572202301479	1.61356269378159	0.143824370908908	0.878360661381158	-4.5556821491766
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1	-0.28339036093913	5.14214674269412	-0.638272960644715	0.540458996106186	0.907138761757904	-4.60799848279833
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1	0.64117426994995	6.42337507619624	1.76510572165596	0.114089874951606	0.878360661381158	-4.5441896091412
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7	-0.948362997081064	5.39288537964168	-1.7801514648933	0.111472156610812	0.878360661381158	-4.55801035891496
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1	0.82457188898056	4.78966648151882	0.868833126363964	0.409295009867922	0.880678642710387	-4.59865530300041
Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2	1.50721634138859	6.42553572162796	2.50927451398089	0.0353382362167829	0.878360661381158	-4.49808201943338
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1	-1.68075123865903	4.79226724775811	-2.61560033227255	0.029859847645929	0.878360661381158	-4.54633920343519
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1	0.216748520566897	8.39131765950367	0.486831991424096	0.638940839909401	0.928026466201363	-4.63310600652684
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1	0.467343234145998	6.06304376003528	1.01063326712959	0.340670786277173	0.878360661381158	-4.59539712552834
Tpr_TRINITY_DN11346_c1_g2|Tdu_TRINITY_DN14468_c0_g1	0.618771663267625	4.77532454031671	1.42572063083157	0.190360743014182	0.878360661381158	-4.58248768831988
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2	0.634932238594279	5.85337471874006	1.76442068211289	0.114210416460801	0.878360661381158	-4.55209321379916
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4	0.115564466438897	7.02632973033752	0.446471207200481	0.666646814422848	0.930852936320962	-4.62727246550481
