Tms_1	Tms_2	Tms_3	Tml_1	Tml_2	Tml_3
Tpr_TRINITY_DN15525_c1_g1|Tdu_TRINITY_DN21784_c0_g1	7.85667762718752	7.59053839256646	7.8465085173647	8.38196767962111	7.80745644760121	7.90886113041942
Tpr_TRINITY_DN12549_c2_g5|Tdu_TRINITY_DN18027_c1_g4	4.80176928608514	3.92465589646174	5.4135491100886	3.56993627035403	5.37175947775628	5.02844274617209
Tpr_TRINITY_DN13493_c0_g1|Tdu_TRINITY_DN16799_c0_g1	7.89215552254224	7.83154649207026	8.12927355668063	7.34890939104182	7.69368757264364	7.71875824703947
Tpr_TRINITY_DN13767_c0_g1|Tdu_TRINITY_DN21451_c4_g5	7.08333964335636	8.61223346366578	7.95723533523123	8.63014090455995	8.50842202506684	8.31047811393594
Tpr_TRINITY_DN12896_c9_g2|Tdu_TRINITY_DN20213_c4_g1	3.64422800909866	3.92465589646174	4.52046431400511	5.2397876686617	4.9443382540216	5.02844274617209
Tpr_TRINITY_DN10598_c0_g2|Tdu_TRINITY_DN20372_c2_g1	5.4983771426352	6.00557589184531	4.4355754164186	4.35843216516032	5.37175947775628	6.13379574631832
Tpr_TRINITY_DN10137_c3_g4|Tdu_TRINITY_DN21232_c7_g10	6.17260698145344	6.20149610182056	6.13264828346129	5.99314770107858	6.1524464493518	5.53863747849127
Tpr_TRINITY_DN11304_c3_g5|Tdu_TRINITY_DN17200_c4_g1	8.16778996515567	8.1250829863014	7.95723533523123	7.59432042898099	8.01116976249981	8.20805030101174
Tpr_TRINITY_DN12899_c5_g2|Tdu_TRINITY_DN19461_c3_g2	7.50603071517864	7.50034058359488	7.11228048576733	6.58623808268313	7.16317285594486	7.81059711410455
Tpr_TRINITY_DN10528_c5_g2|Tdu_TRINITY_DN18934_c1_g1	11.3355688969707	10.179866085849	10.5275316385143	10.5811635257773	10.9651745435083	10.9649022331934
Tpr_TRINITY_DN15775_c2_g6|Tdu_TRINITY_DN19323_c3_g1	7.47516975147388	7.27949861382184	7.4410298465107	6.90492051806684	7.28602960373039	7.27866937570526
Tpr_TRINITY_DN10622_c0_g1|Tdu_TRINITY_DN25400_c4_g11	4.46735024701458	3.92465589646174	4.74873330167823	4.75436084149146	2.89371218095163	4.93824493720051
Tpr_TRINITY_DN11161_c2_g1|Tdu_TRINITY_DN19799_c7_g5	8.27021777807987	8.17258340990533	8.26462540957552	8.41884368185614	8.13620580834459	8.47990365370081
Tpr_TRINITY_DN10235_c3_g1|Tdu_TRINITY_DN17318_c2_g1	6.24756903913467	5.5096183971829	2.85061291569744	5.60235774804641	4.9443382540216	6.00641643984209
Tpr_TRINITY_DN12896_c8_g2|Tdu_TRINITY_DN4168_c0_g1	4.33610571373632	4.74777813437766	2.85061291569744	4.35843216516032	3.78679697703512	4.07151146806397
Tpr_TRINITY_DN11460_c3_g5|Tdu_TRINITY_DN16979_c0_g2	6.35317922709527	6.63360711445835	6.59085364189651	6.61829929191543	6.39013800707113	5.76540834033829
Tpr_TRINITY_DN15959_c2_g2|Tdu_TRINITY_DN25051_c1_g1	5.87452562852045	6.29030536877842	6.62958603638522	6.04124198927962	6.06363718239394	5.71196908137683
Tpr_TRINITY_DN14682_c5_g11|Tdu_TRINITY_DN19228_c2_g5	5.7766783051223	6.29030536877842	7.17908385645157	5.53676940641884	6.31517594938991	5.47590172314331
Tpr_TRINITY_DN11903_c1_g4|Tdu_TRINITY_DN22646_c1_g2	6.48294710206559	6.82412902050778	6.35696558172223	7.16578708721793	6.10872507192248	6.67054915399685
Tpr_TRINITY_DN12775_c0_g1|Tdu_TRINITY_DN16972_c1_g1	5.92106821445748	5.58176818293873	5.80057223319784	4.01739524732525	5.64094611057167	5.65647396878513
Tpr_TRINITY_DN13468_c1_g1|Tdu_TRINITY_DN3725_c0_g1	4.46735024701458	4.86807236809537	4.67658351592239	4.01739524732525	4.47867468167279	4.3763660495924
Tpr_TRINITY_DN11861_c2_g3|Tdu_TRINITY_DN19921_c3_g1	7.73169085034899	8.10073312488565	7.94960201032881	8.92107628645788	8.13620580834459	7.82325241491058
Tpr_TRINITY_DN15563_c2_g9|Tdu_TRINITY_DN24709_c4_g1	4.58764448073229	6.15495351588353	4.03503748683487	4.5028220744955	4.60991921495104	2.79140354887124
Tpr_TRINITY_DN15751_c1_g1|Tdu_TRINITY_DN18129_c2_g1	6.38673178680629	6.29030536877842	6.51012236978365	5.78292999368823	5.21564027583899	5.96132855031355
Tpr_TRINITY_DN13559_c0_g1|Tdu_TRINITY_DN14654_c0_g1	8.00448422264512	8.19575973227142	9.33808757151654	8.09349822641105	8.20009942494322	7.59137894056325
Tpr_TRINITY_DN14591_c12_g2|Tdu_TRINITY_DN23289_c1_g1	4.58764448073229	5.83892602243586	5.80057223319784	6.17659384217451	5.64094611057167	5.86669167617548
Tpr_TRINITY_DN11319_c1_g1|Tdu_TRINITY_DN21763_c2_g1	4.80176928608514	4.47214369176423	4.60063466268909	6.26025177122142	4.47867468167279	4.07151146806397
Tpr_TRINITY_DN10902_c0_g1|Tdu_TRINITY_DN23673_c3_g1	6.68525527735871	5.5096183971829	5.73103129994477	3.56993627035403	5.75878260086552	5.76540834033829
Tpr_TRINITY_DN10325_c1_g2|Tdu_TRINITY_DN17573_c2_g3	6.8863027962968	6.88242766107244	7.37417487175445	5.72521449583195	7.45267947313984	7.33277678104471
Tpr_TRINITY_DN15383_c4_g6|Tdu_TRINITY_DN14116_c0_g1	6.28363829384219	7.04439514073584	6.80903381194604	6.26025177122142	6.42620726177865	6.13379574631832
Tpr_TRINITY_DN12392_c2_g3|Tdu_TRINITY_DN24619_c1_g4	7.82030523752256	7.59053839256646	7.35118322912822	7.71783496546635	7.63325171878166	7.51543008732995
Tpr_TRINITY_DN12194_c4_g3|Tdu_TRINITY_DN17566_c4_g1	8.7924112313869	7.95892579854649	8.59819561723767	7.3101769965531	8.59810991266141	8.96418820445279
