FUSION_ID,BOTH_EXACT,BOTH_INEXACT_EQUAL,SAM_A_ONLY_EXACT,SAM_B_ONLY_EXACT,SAM_A_EXACT_SAM_B_INEXACT,SAM_B_EXACT_SAM_A_INEXACT,SAM_A_ONLY_SINGLE_INEXACT,SAM_B_ONLY_SINGLE_INEXACT,SAM_A_INEXACT_BETTER,SAM_B_INEXACT_BETTER
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1,84,3,65,0,9,0,2,0,10,3
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5,161,24,2,1,4,11,5,1,7,11
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1,54,6,11,0,2,0,1,0,0,2
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1,105,0,13,0,23,0,7,0,6,6
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3,767,59,3,116,122,20,14,139,95,36
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3,36,8,13,11,2,0,2,0,0,0
Tpr_TRINITY_DN21120_c0_g1|Tdu_TRINITY_DN19044_c2_g2,0,0,0,0,0,0,0,0,0,0
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1,58,10,0,0,0,0,4,0,0,0
Tpr_TRINITY_DN38363_c0_g1|Tdu_TRINITY_DN14954_c0_g1,0,0,3,1,0,1,0,0,0,0
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1,36,11,15,0,15,0,2,6,1,0
Tpr_TRINITY_DN13699_c1_g3|Tdu_TRINITY_DN13669_c0_g1,15,0,1,19,1,2,0,0,1,0
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7,23,6,14,2,3,0,0,0,0,0
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1,30,3,2,0,2,0,3,0,2,3
Tpr_TRINITY_DN8521_c0_g1|Tdu_TRINITY_DN16367_c0_g1,1,2,0,11,0,0,0,2,0,0
Tpr_TRINITY_DN11904_c1_g9|Tdu_TRINITY_DN22597_c5_g2,1,0,0,0,0,0,0,0,0,0
Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2,24,1,0,57,0,1,1,20,1,1
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1,50,1,4,29,2,1,3,6,3,2
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1,272,67,4,11,75,2,43,2,115,54
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1,66,21,56,0,3,0,1,0,0,0
Tpr_TRINITY_DN15747_c5_g5|Tdu_TRINITY_DN13769_c0_g1,3,2,0,0,0,0,0,0,1,0
Tpr_TRINITY_DN11346_c1_g2|Tdu_TRINITY_DN14468_c0_g1,19,2,42,10,2,1,0,0,2,0
Tpr_TRINITY_DN11644_c3_g2|Tdu_TRINITY_DN21579_c2_g4,25,4,1,0,0,0,0,0,1,0
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2,41,6,80,0,7,0,14,0,2,0
Tpr_TRINITY_DN9794_c0_g1|Tdu_TRINITY_DN20912_c0_g2,8,1,0,4,6,0,0,0,1,0
Tpr_TRINITY_DN7892_c0_g1|Tdu_TRINITY_DN10927_c0_g1,0,0,0,0,0,0,0,0,0,0
Tpr_TRINITY_DN10912_c0_g1|Tdu_TRINITY_DN18326_c0_g1,3,0,0,2,1,0,0,0,0,1
Tpr_TRINITY_DN11422_c2_g1|Tdu_TRINITY_DN19448_c0_g2,0,1,0,19,1,0,2,24,0,0
Tpr_TRINITY_DN10598_c0_g4|Tdu_TRINITY_DN13963_c0_g1,7,1,0,0,0,0,0,0,0,1
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4,136,30,31,5,104,13,25,0,40,2
Tpr_TRINITY_DN11701_c6_g1|Tdu_TRINITY_DN12468_c0_g1,5,1,0,0,0,0,0,0,0,1
Tpr_TRINITY_DN12542_c1_g1|Tdu_TRINITY_DN21845_c1_g1,6,0,2,0,2,2,1,2,0,1
Tpr_TRINITY_DN10379_c2_g1|Tdu_TRINITY_DN23200_c5_g2,17,1,0,0,0,0,0,0,0,0
Tpr_TRINITY_DN30976_c0_g1|Tdu_TRINITY_DN6594_c0_g1,9,1,1,0,4,0,1,0,1,0
Tpr_TRINITY_DN14803_c3_g1|Tdu_TRINITY_DN23572_c6_g1,34,2,2,131,0,9,5,4,0,3
