FUSION_ID,BOTH_EXACT,BOTH_INEXACT_EQUAL,SAM_A_ONLY_EXACT,SAM_B_ONLY_EXACT,SAM_A_EXACT_SAM_B_INEXACT,SAM_B_EXACT_SAM_A_INEXACT,SAM_A_ONLY_SINGLE_INEXACT,SAM_B_ONLY_SINGLE_INEXACT,SAM_A_INEXACT_BETTER,SAM_B_INEXACT_BETTER
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1,62,9,29,0,19,1,4,0,21,4
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5,128,14,2,1,3,7,12,0,7,10
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1,26,6,26,0,0,0,5,0,0,4
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1,79,3,10,0,28,2,4,0,5,9
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3,732,48,4,103,138,16,27,174,125,54
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3,45,3,7,24,0,0,1,0,0,0
Tpr_TRINITY_DN21120_c0_g1|Tdu_TRINITY_DN19044_c2_g2,6,0,0,0,0,0,0,2,0,1
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1,44,16,1,0,0,0,3,0,3,1
Tpr_TRINITY_DN38363_c0_g1|Tdu_TRINITY_DN14954_c0_g1,0,0,0,0,0,0,0,0,0,0
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1,26,3,18,5,17,0,0,5,7,0
Tpr_TRINITY_DN13699_c1_g3|Tdu_TRINITY_DN13669_c0_g1,10,1,0,6,2,0,2,1,1,1
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7,26,10,8,3,1,0,0,0,0,0
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1,68,3,0,0,0,0,3,2,8,6
Tpr_TRINITY_DN8521_c0_g1|Tdu_TRINITY_DN16367_c0_g1,2,1,0,10,0,1,0,1,0,0
Tpr_TRINITY_DN11904_c1_g9|Tdu_TRINITY_DN22597_c5_g2,2,0,0,0,0,0,0,0,0,0
Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2,2,0,0,13,0,0,0,0,0,0
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1,29,0,2,24,15,6,5,5,11,4
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1,332,94,9,13,107,3,65,6,141,91
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1,77,41,34,0,1,0,3,0,1,1
Tpr_TRINITY_DN15747_c5_g5|Tdu_TRINITY_DN13769_c0_g1,5,0,0,0,0,0,0,0,0,0
Tpr_TRINITY_DN11346_c1_g2|Tdu_TRINITY_DN14468_c0_g1,6,2,30,4,1,0,1,0,2,0
Tpr_TRINITY_DN11644_c3_g2|Tdu_TRINITY_DN21579_c2_g4,14,7,0,0,3,0,3,0,0,1
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2,44,12,53,0,3,0,11,1,3,1
Tpr_TRINITY_DN9794_c0_g1|Tdu_TRINITY_DN20912_c0_g2,20,5,2,3,3,0,1,1,0,0
Tpr_TRINITY_DN7892_c0_g1|Tdu_TRINITY_DN10927_c0_g1,0,0,0,0,0,0,0,0,0,0
Tpr_TRINITY_DN10912_c0_g1|Tdu_TRINITY_DN18326_c0_g1,2,0,0,2,0,0,0,0,0,3
Tpr_TRINITY_DN11422_c2_g1|Tdu_TRINITY_DN19448_c0_g2,7,1,6,26,3,0,2,32,0,1
Tpr_TRINITY_DN10598_c0_g4|Tdu_TRINITY_DN13963_c0_g1,9,0,0,0,0,0,1,0,1,0
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4,92,33,32,14,56,8,16,0,12,1
Tpr_TRINITY_DN11701_c6_g1|Tdu_TRINITY_DN12468_c0_g1,6,4,0,0,0,0,0,0,1,0
Tpr_TRINITY_DN12542_c1_g1|Tdu_TRINITY_DN21845_c1_g1,2,0,1,4,0,3,2,0,1,0
Tpr_TRINITY_DN10379_c2_g1|Tdu_TRINITY_DN23200_c5_g2,1,0,0,1,0,0,4,0,1,0
Tpr_TRINITY_DN30976_c0_g1|Tdu_TRINITY_DN6594_c0_g1,17,2,0,0,4,0,1,0,3,0
Tpr_TRINITY_DN14803_c3_g1|Tdu_TRINITY_DN23572_c6_g1,27,10,1,154,0,25,11,7,2,5
Tpr_TRINITY_DN1754_c0_g1|Tdu_TRINITY_DN28020_c0_g1,3,0,12,0,0,0,0,0,0,0
Tpr_TRINITY_DN9404_c0_g1|Tdu_TRINITY_DN9708_c0_g1,0,0,0,0,0,0,0,0,0,0
Tpr_TRINITY_DN13683_c4_g1|Tdu_TRINITY_DN22426_c1_g1,14,3,0,27,0,3,2,4,1,4
Tpr_TRINITY_DN1379_c0_g1|Tdu_TRINITY_DN10898_c0_g1,5,1,6,0,0,0,1,0,0,0
Tpr_TRINITY_DN16433_c0_g1|Tdu_TRINITY_DN15338_c0_g1,0,0,0,4,0,1,0,0,0,0
Tpr_TRINITY_DN10334_c5_g3|Tdu_TRINITY_DN16861_c0_g1,11,0,1,0,1,0,3,0,1,7
Tpr_TRINITY_DN11732_c3_g2|Tdu_TRINITY_DN17099_c2_g2,34,11,1,0,7,2,2,2,14,1
Tpr_TRINITY_DN13697_c1_g2|Tdu_TRINITY_DN16915_c6_g1,23,1,70,0,2,0,19,0,4,1
Tpr_TRINITY_DN10107_c0_g1|Tdu_TRINITY_DN19986_c5_g1,29,2,63,16,1,1,9,0,1,0
Tpr_TRINITY_DN13082_c0_g7|Tdu_TRINITY_DN20860_c5_g5,15,0,125,0,2,0,4,0,2,5
Tpr_TRINITY_DN15171_c0_g7|Tdu_TRINITY_DN23860_c1_g4,13,0,9,3,0,0,0,0,0,0
Tpr_TRINITY_DN11605_c4_g2|Tdu_TRINITY_DN11233_c0_g1,17,2,1,11,0,0,1,0,0,0
Tpr_TRINITY_DN9291_c0_g1|Tdu_TRINITY_DN15472_c0_g1,17,6,13,0,2,0,1,0,8,1
Tpr_TRINITY_DN11804_c0_g9|Tdu_TRINITY_DN21590_c2_g1,24,6,0,46,1,4,2,6,1,0
Tpr_TRINITY_DN10219_c6_g1|Tdu_TRINITY_DN19995_c0_g1,16,3,0,25,3,0,1,20,0,0
Tpr_TRINITY_DN37142_c0_g1|Tdu_TRINITY_DN45271_c0_g1,3,1,0,0,0,0,0,0,0,0
Tpr_TRINITY_DN11290_c2_g2|Tdu_TRINITY_DN19466_c5_g2,25,5,0,47,0,3,2,2,1,2
Tpr_TRINITY_DN11779_c3_g2|Tdu_TRINITY_DN16840_c3_g3,76,30,1,134,0,9,0,69,0,0
Tpr_TRINITY_DN10516_c1_g3|Tdu_TRINITY_DN19561_c1_g1,200,44,3,0,21,1,7,1,28,30
Tpr_TRINITY_DN9937_c0_g1|Tdu_TRINITY_DN32303_c0_g1,0,0,2,0,0,0,0,0,0,0
Tpr_TRINITY_DN6712_c0_g1|Tdu_TRINITY_DN15013_c0_g2,0,0,0,0,0,0,0,0,0,0
Tpr_TRINITY_DN12927_c1_g1|Tdu_TRINITY_DN22980_c2_g1,10,0,10,6,4,0,3,10,0,0
Tpr_TRINITY_DN11462_c1_g3|Tdu_TRINITY_DN18955_c5_g2,30,3,0,0,0,0,3,0,2,2
Tpr_TRINITY_DN14614_c1_g6|Tdu_TRINITY_DN1401_c0_g1,90,35,1,0,7,0,11,1,1,2
Tpr_TRINITY_DN13868_c2_g1|Tdu_TRINITY_DN24297_c1_g3,19,1,0,0,6,0,2,0,1,0
Tpr_TRINITY_DN15138_c2_g2|Tdu_TRINITY_DN19397_c1_g1,74,11,28,0,4,0,10,1,5,8
Tpr_TRINITY_DN12667_c4_g3|Tdu_TRINITY_DN18652_c6_g1,43,11,36,0,5,0,22,1,1,0
Tpr_TRINITY_DN13277_c0_g1|Tdu_TRINITY_DN14226_c0_g1,2,1,0,0,0,0,0,0,0,0
Tpr_TRINITY_DN12935_c0_g1|Tdu_TRINITY_DN23885_c2_g4,4,2,0,26,0,5,0,1,0,0
Tpr_TRINITY_DN11436_c1_g7|Tdu_TRINITY_DN21318_c0_g1,38,10,0,0,3,0,1,0,0,0
