Tdu_4	Tdu_5	Tdu_6	Tpr_1	Tpr_2	Tpr_3
Tpr_TRINITY_DN12744_c2_g1|Tdu_TRINITY_DN24940_c1_g1	6.91319529980075	7.13030857624325	7.58423357667241	7.05516871768388	6.69269174846473	6.48635204807201
Tpr_TRINITY_DN13468_c0_g1|Tdu_TRINITY_DN18421_c6_g3	4.82406940932776	4.68242782027739	5.09190205386152	5.38654828791581	5.27925103412022	5.64741448080452
Tpr_TRINITY_DN515_c0_g1|Tdu_TRINITY_DN16868_c4_g5	6.6985385272439	6.18045468422726	5.46875635925247	6.72133853374022	5.14557259888825	6.26585168607677
Tpr_TRINITY_DN13052_c1_g1|Tdu_TRINITY_DN19025_c1_g1	8.28350102796506	8.09983622401898	8.42027555801406	8.42636760602919	8.55578722619357	8.67508689928908
Tpr_TRINITY_DN11118_c1_g2|Tdu_TRINITY_DN24387_c2_g2	4.87956452191947	5.07835649660853	4.80717257692841	4.07534659962151	4.29196208586977	4.92393211600194
Tpr_TRINITY_DN12437_c6_g1|Tdu_TRINITY_DN18152_c3_g1	6.6028551791886	6.50058949729157	6.66243748394739	5.25119643502092	5.40158657704427	5.76445390199474
Tpr_TRINITY_DN12134_c0_g2|Tdu_TRINITY_DN21624_c3_g1	7.11164599942435	7.2966210323223	7.55328986946414	8.21224280067635	8.04965912162007	8.02514436736024
Tpr_TRINITY_DN12330_c1_g4|Tdu_TRINITY_DN20630_c0_g1	5.30139118686095	5.56378332377877	5.92063062671169	5.66030910034266	5.95891795878824	6.06752296963079
Tpr_TRINITY_DN11324_c0_g1|Tdu_TRINITY_DN11585_c0_g1	7.45085208574355	7.20268463161073	7.0865087950913	8.1501818325441	7.87481383999512	8.25589057602657
Tpr_TRINITY_DN14194_c1_g7|Tdu_TRINITY_DN8757_c0_g1	4.10584037774314	4.8719056191411	4.80717257692841	3.56838661090162	4.79892207458966	4.45186367168672
Tpr_TRINITY_DN10288_c2_g1|Tdu_TRINITY_DN23604_c4_g1	6.56949658224216	6.19826596034372	6.98581479547183	6.95708371800169	6.70224605517798	6.53109036283729
Tpr_TRINITY_DN13630_c0_g7|Tdu_TRINITY_DN24974_c6_g2	8.79007998134674	8.42129044961619	9.00166083141053	8.68020865778037	9.0561935004946	9.18941088047112
Tpr_TRINITY_DN12143_c3_g1|Tdu_TRINITY_DN20625_c4_g1	8.18781767990975	8.18715970810515	8.1317213719749	7.99641613039979	7.75598827858432	7.78768620823246
Tpr_TRINITY_DN11809_c7_g3|Tdu_TRINITY_DN17369_c3_g2	6.14032875412843	6.80953973818073	6.42669229968593	5.89031470578898	6.13855217121048	6.12702398137945
Tpr_TRINITY_DN10769_c4_g1|Tdu_TRINITY_DN17328_c4_g1	8.63747337605817	8.88982752713836	9.16664263417675	8.78602550226744	9.26562169369099	9.37878132197494
Tpr_TRINITY_DN12193_c2_g1|Tdu_TRINITY_DN21687_c3_g1	4.00962506248384	4.05899117174159	4.85870287756849	4.60586131632029	4.68789076220091	4.35564835642741
Tpr_TRINITY_DN11366_c0_g1|Tdu_TRINITY_DN17359_c4_g3	6.4277684726305	7.51842279037889	5.96832736874299	4.93516894157325	5.47029932712829	5.42840469886273
Tpr_TRINITY_DN14222_c1_g6|Tdu_TRINITY_DN17376_c1_g4	6.29119541975506	6.42696663414839	6.24498138386591	5.42898355423621	5.59862342410382	5.42840469886273
Tpr_TRINITY_DN15390_c2_g2|Tdu_TRINITY_DN18344_c3_g3	8.6966085001455	8.76690988558949	8.75882818508971	8.8884151728735	9.26562169369099	9.35409288992537
Tpr_TRINITY_DN14752_c6_g5|Tdu_TRINITY_DN21255_c1_g1	6.6985385272439	6.77435030971843	6.99735641735452	5.94981571753765	6.60373031453691	6.44018186663908
Tpr_TRINITY_DN7591_c0_g1|Tdu_TRINITY_DN21133_c2_g5	5.56103500349397	5.69502785705702	5.36566286628837	4.99288443942953	4.79892207458966	5.22558781586304
Tpr_TRINITY_DN10588_c1_g1|Tdu_TRINITY_DN18547_c0_g3	6.58627229499299	6.19826596034372	7.17047110623563	6.06192608385918	6.61389018075714	6.88137165377389
Tpr_TRINITY_DN12632_c2_g1|Tdu_TRINITY_DN23203_c1_g1	4.7062329190339	4.95806226289081	5.46875635925247	6.08864342223496	6.33558901827003	5.64741448080452
Tpr_TRINITY_DN13531_c2_g5|Tdu_TRINITY_DN23075_c3_g1	8.39243539951822	8.49879398362996	8.57077729619298	9.42767617304942	9.78718596653869	10.2483743475248
Tpr_TRINITY_DN4033_c0_g1|Tdu_TRINITY_DN17606_c4_g3	7.01583021201055	6.8663460937992	6.47702397523607	7.12135899737834	6.8727000007292	7.05990978552091
Tpr_TRINITY_DN15099_c2_g1|Tdu_TRINITY_DN19880_c1_g2	7.01583021201055	7.05410895036185	6.70529296290919	6.19082381704144	6.91439929200959	7.39853416928059
Tpr_TRINITY_DN11070_c2_g1|Tdu_TRINITY_DN18679_c0_g3	8.37805626014505	8.6681199835935	8.87599970104952	8.19390320997341	8.65997067674347	8.46633415449505
Tpr_TRINITY_DN13147_c4_g4|Tdu_TRINITY_DN19998_c2_g1	4.82406940932776	5.50774928886444	5.56497167451178	6.08864342223496	5.97477190998907	6.39248512460778
Tpr_TRINITY_DN14163_c3_g1|Tdu_TRINITY_DN19590_c0_g4	5.56103500349397	6.71372395076692	6.61826990067183	6.33168635288129	6.49799106099733	6.39248512460778
Tpr_TRINITY_DN14623_c0_g3|Tdu_TRINITY_DN21734_c3_g4	8.22042234534168	6.162420761397	7.2689868468767	6.16594914840241	6.24697463109646	6.5088946167231
Tpr_TRINITY_DN13313_c2_g11|Tdu_TRINITY_DN17059_c4_g2	5.41843060805117	6.45686811986226	6.10262846045458	5.38654828791581	6.16643120378591	6.39248512460778
Tpr_TRINITY_DN11787_c0_g1|Tdu_TRINITY_DN18867_c0_g1	7.78463926449922	7.75943088988269	7.84279648665913	7.233348433688	7.86208409528003	7.9529945816044
Tpr_TRINITY_DN12013_c2_g2|Tdu_TRINITY_DN16103_c0_g1	6.91319529980075	7.0927117895856	7.1185700043236	6.39727469450887	6.71173750415528	6.73607210062492
Tpr_TRINITY_DN12251_c1_g3|Tdu_TRINITY_DN20923_c1_g2	4.00962506248384	4.73218085547449	4.15509588034871	4.07534659962151	4.68789076220091	4.14152355107457
Tpr_TRINITY_DN12271_c0_g1|Tdu_TRINITY_DN23805_c0_g1	4.36109743298522	5.76840104338724	5.94467610067834	5.97867058020983	5.91028318353736	6.03682617240787
Tpr_TRINITY_DN13225_c1_g4|Tdu_TRINITY_DN22117_c2_g1	4.76635391147147	5.32527123707904	5.09190205386152	5.38654828791581	5.37793530897963	5.56375655175761
Tpr_TRINITY_DN10248_c5_g1|Tdu_TRINITY_DN18223_c3_g1	6.48256094547088	6.95282561452467	6.80059992300492	6.59658350273227	6.6733911925058	6.48635204807201
Tpr_TRINITY_DN10187_c2_g6|Tdu_TRINITY_DN20971_c8_g1	6.16287132277952	6.52901790561809	6.01449755017591	6.00695962464126	5.85995150798722	5.47494728479976
Tpr_TRINITY_DN8303_c0_g1|Tdu_TRINITY_DN16034_c0_g1	5.38046275785215	6.08794254543772	5.79399718818067	5.97867058020983	5.92667762178803	5.60619181807801
Tpr_TRINITY_DN15115_c0_g2|Tdu_TRINITY_DN22684_c1_g2	6.4277684726305	6.83253138080695	6.98581479547183	6.73831161234394	7.17674849477143	7.05990978552091
Tpr_TRINITY_DN12619_c0_g1|Tdu_TRINITY_DN22380_c3_g1	5.26016852413444	5.76840104338724	5.0481806764322	4.99288443942953	4.99823088281306	4.98952045762952
Tpr_TRINITY_DN10216_c4_g1|Tdu_TRINITY_DN22573_c1_g1	8.2988489922985	6.88845679540495	7.37895968890183	7.10836165684947	7.21061613079413	7.42247986490562
