"","Tdu_4","Tdu_5","Tdu_6","Tpr_1","Tpr_2","Tpr_3","Tms_1","Tms_2","Tms_3"
"Tpr_TRINITY_DN13082_c0_g7|Tdu_TRINITY_DN20860_c5_g5",22,24,19,17,32,22,30,21,33
"Tpr_TRINITY_DN15171_c0_g7|Tdu_TRINITY_DN23860_c1_g4",4,13,23,9,22,3,1,0,0
"Tpr_TRINITY_DN11605_c4_g2|Tdu_TRINITY_DN11233_c0_g1",16,19,20,12,33,19,9,20,12
"Tpr_TRINITY_DN9291_c0_g1|Tdu_TRINITY_DN15472_c0_g1",29,34,59,27,69,34,25,34,42
"Tpr_TRINITY_DN11804_c0_g9|Tdu_TRINITY_DN21590_c2_g1",15,36,44,26,46,35,26,20,28
"Tpr_TRINITY_DN10219_c6_g1|Tdu_TRINITY_DN19995_c0_g1",20,22,48,58,117,62,22,9,22
"Tpr_TRINITY_DN37142_c0_g1|Tdu_TRINITY_DN45271_c0_g1",2,4,3,0,0,0,5,2,6
"Tpr_TRINITY_DN11290_c2_g2|Tdu_TRINITY_DN19466_c5_g2",36,36,26,24,65,35,25,45,40
"Tpr_TRINITY_DN11779_c3_g2|Tdu_TRINITY_DN16840_c3_g3",72,115,65,62,152,52,39,17,49
"Tpr_TRINITY_DN10516_c1_g3|Tdu_TRINITY_DN19561_c1_g1",272,324,272,154,235,122,180,103,208
"Tpr_TRINITY_DN9937_c0_g1|Tdu_TRINITY_DN32303_c0_g1",0,0,0,0,4,0,1,0,1
"Tpr_TRINITY_DN6712_c0_g1|Tdu_TRINITY_DN15013_c0_g2",2,0,3,9,1,0,0,0,0
"Tpr_TRINITY_DN12927_c1_g1|Tdu_TRINITY_DN22980_c2_g1",23,14,11,10,17,8,14,10,5
"Tpr_TRINITY_DN11462_c1_g3|Tdu_TRINITY_DN18955_c5_g2",7,37,20,75,209,71,21,7,12
"Tpr_TRINITY_DN14614_c1_g6|Tdu_TRINITY_DN1401_c0_g1",57,135,65,88,187,93,26,26,26
"Tpr_TRINITY_DN13868_c2_g1|Tdu_TRINITY_DN24297_c1_g3",6,27,10,2,12,16,29,18,33
"Tpr_TRINITY_DN15138_c2_g2|Tdu_TRINITY_DN19397_c1_g1",69,102,108,115,179,35,8,2,8
"Tpr_TRINITY_DN12667_c4_g3|Tdu_TRINITY_DN18652_c6_g1",35,60,45,99,115,50,48,20,55
"Tpr_TRINITY_DN13277_c0_g1|Tdu_TRINITY_DN14226_c0_g1",0,3,0,0,1,0,0,0,1
"Tpr_TRINITY_DN12935_c0_g1|Tdu_TRINITY_DN23885_c2_g4",9,11,7,3,2,7,7,3,16
"Tpr_TRINITY_DN11436_c1_g7|Tdu_TRINITY_DN21318_c0_g1",54,51,34,56,73,38,20,23,26
"Tpr_TRINITY_DN12744_c2_g1|Tdu_TRINITY_DN24940_c1_g1",108,155,188,106,150,63,50,69,40
"Tpr_TRINITY_DN13468_c0_g1|Tdu_TRINITY_DN18421_c6_g3",25,28,33,33,56,35,16,14,19
"Tpr_TRINITY_DN30483_c0_g1|Tdu_TRINITY_DN9825_c0_g1",24,15,10,16,7,9,18,15,11
"Tpr_TRINITY_DN515_c0_g1|Tdu_TRINITY_DN16868_c4_g5",93,80,43,84,51,54,130,61,86
"Tpr_TRINITY_DN13052_c1_g1|Tdu_TRINITY_DN19025_c1_g1",280,304,336,275,547,289,189,139,216
"Tpr_TRINITY_DN15806_c0_g1|Tdu_TRINITY_DN17874_c1_g4",2,1,3,2,9,2,2,0,9
"Tpr_TRINITY_DN10426_c1_g11|Tdu_TRINITY_DN14901_c0_g1",8,10,8,22,21,11,36,10,26
"Tpr_TRINITY_DN15890_c1_g3|Tdu_TRINITY_DN25023_c2_g1",1,1,1,0,3,0,2,0,5
"Tpr_TRINITY_DN11118_c1_g2|Tdu_TRINITY_DN24387_c2_g2",26,37,27,13,28,21,15,12,28
"Tpr_TRINITY_DN12437_c6_g1|Tdu_TRINITY_DN18152_c3_g1",87,100,99,30,61,38,47,47,68
"Tpr_TRINITY_DN12422_c3_g4|Tdu_TRINITY_DN23379_c3_g1",0,1,3,0,1,0,1,0,3
"Tpr_TRINITY_DN12134_c0_g2|Tdu_TRINITY_DN21624_c3_g1",124,174,184,237,385,184,100,124,183
"Tpr_TRINITY_DN8165_c0_g1|Tdu_TRINITY_DN15693_c0_g1",9,35,41,18,41,7,1,2,6
"Tpr_TRINITY_DN12409_c3_g1|Tdu_TRINITY_DN22484_c2_g8",7,16,15,3,14,8,6,5,5
"Tpr_TRINITY_DN12330_c1_g4|Tdu_TRINITY_DN20630_c0_g1",35,52,59,40,90,47,15,23,28
"Tpr_TRINITY_DN15316_c5_g4|Tdu_TRINITY_DN19520_c4_g1",0,2,0,1,2,0,1,1,4
"Tpr_TRINITY_DN11324_c0_g1|Tdu_TRINITY_DN11585_c0_g1",157,163,133,227,341,216,145,145,167
"Tpr_TRINITY_DN14194_c1_g7|Tdu_TRINITY_DN8757_c0_g1",15,32,27,9,40,15,15,16,14
"Tpr_TRINITY_DN10288_c2_g1|Tdu_TRINITY_DN23604_c4_g1",85,81,124,99,151,65,51,41,101
"Tpr_TRINITY_DN14549_c5_g3|Tdu_TRINITY_DN19459_c2_g1",8,14,27,8,17,13,6,3,19
"Tpr_TRINITY_DN12493_c7_g1|Tdu_TRINITY_DN18655_c4_g1",7,11,10,4,18,3,9,7,14
"Tpr_TRINITY_DN13630_c0_g7|Tdu_TRINITY_DN24974_c6_g2",398,380,503,328,774,413,183,94,324
"Tpr_TRINITY_DN12143_c3_g1|Tdu_TRINITY_DN20625_c4_g1",262,323,275,204,314,156,138,109,182
"Tpr_TRINITY_DN11809_c7_g3|Tdu_TRINITY_DN17369_c3_g2",63,124,84,47,102,49,86,50,90
"Tpr_TRINITY_DN12870_c3_g1|Tdu_TRINITY_DN17260_c2_g1",2,0,0,7,7,5,5,1,5
"Tpr_TRINITY_DN10769_c4_g1|Tdu_TRINITY_DN17328_c4_g1",358,526,564,353,895,471,360,293,347
"Tpr_TRINITY_DN12636_c2_g10|Tdu_TRINITY_DN19969_c1_g5",2,1,0,6,46,0,9,14,51
"Tpr_TRINITY_DN11191_c5_g12|Tdu_TRINITY_DN17180_c6_g3",3,7,8,17,8,2,1,2,0
"Tpr_TRINITY_DN11075_c8_g1|Tdu_TRINITY_DN16663_c7_g1",4,6,5,13,22,15,8,7,16
"Tpr_TRINITY_DN6697_c0_g1|Tdu_TRINITY_DN24609_c6_g3",0,0,0,0,3,3,3,0,3
"Tpr_TRINITY_DN12193_c2_g1|Tdu_TRINITY_DN21687_c3_g1",14,18,28,19,37,14,7,2,9
"Tpr_TRINITY_DN11366_c0_g1|Tdu_TRINITY_DN17359_c4_g3",77,203,61,24,64,30,87,99,135
"Tpr_TRINITY_DN4810_c0_g2|Tdu_TRINITY_DN13227_c0_g1",0,0,0,0,0,0,0,0,0
