"","Tdu_1","Tdu_2","Tdu_3","Tpr_1","Tpr_2","Tpr_3","Tml_1","Tml_2","Tml_3"
"Tpr_TRINITY_DN13082_c0_g7|Tdu_TRINITY_DN20860_c5_g5",23,27,55,17,32,22,4,26,13
"Tpr_TRINITY_DN15171_c0_g7|Tdu_TRINITY_DN23860_c1_g4",49,5,5,9,22,3,0,67,6
"Tpr_TRINITY_DN11605_c4_g2|Tdu_TRINITY_DN11233_c0_g1",14,19,27,12,33,19,9,13,9
"Tpr_TRINITY_DN9291_c0_g1|Tdu_TRINITY_DN15472_c0_g1",38,55,78,27,69,34,24,13,23
"Tpr_TRINITY_DN11804_c0_g9|Tdu_TRINITY_DN21590_c2_g1",29,37,70,26,46,35,33,17,30
"Tpr_TRINITY_DN10219_c6_g1|Tdu_TRINITY_DN19995_c0_g1",46,40,42,58,117,62,21,18,23
"Tpr_TRINITY_DN37142_c0_g1|Tdu_TRINITY_DN45271_c0_g1",1,2,6,0,0,0,0,2,0
"Tpr_TRINITY_DN11290_c2_g2|Tdu_TRINITY_DN19466_c5_g2",35,45,61,24,65,35,5,27,32
"Tpr_TRINITY_DN11779_c3_g2|Tdu_TRINITY_DN16840_c3_g3",120,49,146,62,152,52,8,36,21
"Tpr_TRINITY_DN10516_c1_g3|Tdu_TRINITY_DN19561_c1_g1",220,389,380,154,235,122,83,91,123
"Tpr_TRINITY_DN9937_c0_g1|Tdu_TRINITY_DN32303_c0_g1",0,0,0,0,4,0,0,2,4
"Tpr_TRINITY_DN6712_c0_g1|Tdu_TRINITY_DN15013_c0_g2",0,5,9,9,1,0,1,0,0
"Tpr_TRINITY_DN12927_c1_g1|Tdu_TRINITY_DN22980_c2_g1",20,21,21,10,17,8,7,7,7
"Tpr_TRINITY_DN11462_c1_g3|Tdu_TRINITY_DN18955_c5_g2",14,22,5,75,209,71,14,17,30
"Tpr_TRINITY_DN14614_c1_g6|Tdu_TRINITY_DN1401_c0_g1",32,80,119,88,187,93,46,11,26
"Tpr_TRINITY_DN13868_c2_g1|Tdu_TRINITY_DN24297_c1_g3",21,15,24,2,12,16,1,22,22
"Tpr_TRINITY_DN15138_c2_g2|Tdu_TRINITY_DN19397_c1_g1",92,75,106,115,179,35,6,28,7
"Tpr_TRINITY_DN12667_c4_g3|Tdu_TRINITY_DN18652_c6_g1",63,43,49,99,115,50,12,37,60
