baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Tpr_TRINITY_DN11283_c3_g1|Tdu_TRINITY_DN25596_c4_g2	24.7868875011896	-0.127395306165986	0.312826165914908	-0.407239930820361	0.683831776524131	0.842507136702617
Tpr_TRINITY_DN11284_c2_g19|Tdu_TRINITY_DN20652_c0_g3	12.738499449908	-0.031653378675176	0.407670671234655	-0.0776444834241125	0.938110856509904	0.970241399357116
Tpr_TRINITY_DN11285_c1_g4|Tdu_TRINITY_DN17239_c2_g3	100.30264719516	-0.351164138618486	0.23984831454055	-1.46410926126861	0.143164097218451	0.351251447826665
Tpr_TRINITY_DN11295_c2_g2|Tdu_TRINITY_DN23322_c3_g3	107.768997396195	-0.817867589498889	0.325103590808381	-2.51571379899322	0.0118791603445051	0.0688764219257866
Tpr_TRINITY_DN11295_c2_g3|Tdu_TRINITY_DN12723_c0_g1	50.4361813587349	0.294861851448159	0.26236656228003	1.12385453727692	0.261074740651164	0.497055989164416
Tpr_TRINITY_DN11301_c4_g1|Tdu_TRINITY_DN21600_c2_g2	41.9889214358293	0.414878198468098	0.315558857605363	1.31474109653085	0.188596929758236	0.415383518547208
Tpr_TRINITY_DN11305_c3_g3|Tdu_TRINITY_DN19745_c1_g6	379.094610074452	0.123708909022512	0.172843773914861	0.71572672952309	0.474160102660469	0.696247799761348
Tpr_TRINITY_DN11312_c1_g9|Tdu_TRINITY_DN22458_c5_g3	6.67734936316403	-0.0776892813475555	0.469129059900885	-0.165603216658481	0.868469215721973	0.941197209445899
Tpr_TRINITY_DN11315_c4_g5|Tdu_TRINITY_DN19375_c2_g1	4.06395000262641	-1.17068079853191	0.581216609950575	-2.01419019774996	0.0439895684358705	0.168228034372955
Tpr_TRINITY_DN11315_c4_g7|Tdu_TRINITY_DN19200_c4_g1	6.52537858820243	0.153881239165714	0.495932587784225	0.310286605389734	0.756343016195645	0.883717050477285
Tpr_TRINITY_DN11315_c5_g2|Tdu_TRINITY_DN19858_c3_g1	253.384058579558	0.177210720599934	0.308160360237941	0.575060077367197	0.565250666777053	0.764324738330744
Tpr_TRINITY_DN11319_c0_g3|Tdu_TRINITY_DN20768_c1_g9	219.2529238822	-0.484842034770738	0.271617515803719	-1.78501755800279	0.0742584689572667	0.233102425517216
Tpr_TRINITY_DN11319_c1_g4|Tdu_TRINITY_DN18838_c1_g1	315.911635705305	-0.178644184951052	0.522391211253769	-0.341973948072931	0.732370498007758	0.869047063514151
Tpr_TRINITY_DN11320_c3_g1|Tdu_TRINITY_DN23701_c5_g2	24.1281602192407	-0.35256963844962	0.381708592656676	-0.923661780825393	0.355662436756279	0.599503716505693
Tpr_TRINITY_DN11323_c2_g1|Tdu_TRINITY_DN20331_c0_g1	171.860183806587	-0.316204775607366	0.162380219534224	-1.94731092564339	0.0514974696441953	0.184753558592896
Tpr_TRINITY_DN11323_c2_g7|Tdu_TRINITY_DN19402_c2_g2	174.589416988462	-0.213499112915046	0.173069691280792	-1.23360197464419	0.217351256850652	0.449427204727828
Tpr_TRINITY_DN11324_c0_g3|Tdu_TRINITY_DN20539_c0_g3	32.8511080960134	0.448631767782902	0.337159701043221	1.3306209680302	0.183313759584064	0.40864569373517
Tpr_TRINITY_DN11326_c2_g1|Tdu_TRINITY_DN23238_c0_g4	338.283465728138	0.097736893024498	0.209973993817648	0.465471419805339	0.641593899214234	0.816786526433579
Tpr_TRINITY_DN11329_c4_g5|Tdu_TRINITY_DN17453_c3_g1	7.36748491584051	0.240046358243704	0.507007130954637	0.473457558262986	0.635886773790893	0.812308110873178
Tpr_TRINITY_DN11330_c5_g1|Tdu_TRINITY_DN24665_c1_g2	55.3034656728606	0.433266919124053	0.218336843696461	1.98439673208062	0.0472116300521198	0.176109178049913
Tpr_TRINITY_DN11332_c0_g2|Tdu_TRINITY_DN17820_c3_g1	242.213657575798	0.158937076523427	0.366133514402196	0.434095952081665	0.664218764856413	0.830685527100369
Tpr_TRINITY_DN11332_c0_g5|Tdu_TRINITY_DN25508_c4_g1	10.7919422809083	-0.509539133150378	0.527387655167079	-0.966156731501336	0.333965760242816	0.577492362215876
Tpr_TRINITY_DN11334_c1_g3|Tdu_TRINITY_DN12643_c0_g1	18.4427132905252	-0.398648539617513	0.387797853791008	-1.02798026270757	0.303959112100528	0.548981604400395
Tpr_TRINITY_DN11336_c1_g2|Tdu_TRINITY_DN21547_c1_g2	531.730603875973	-0.169987567557965	0.18067291329504	-0.940858064763556	0.346777600225724	0.589798480629899
Tpr_TRINITY_DN11340_c1_g1|Tdu_TRINITY_DN22526_c1_g2	64.4233412780748	-0.148457933627721	0.258789851642041	-0.573662114977634	0.566196469754041	0.76475131302988
Tpr_TRINITY_DN11343_c6_g1|Tdu_TRINITY_DN15656_c0_g1	371.130419460608	-0.401904059132492	0.171739325111518	-2.3401981978881	0.0192735086820248	0.0960311474680352
Tpr_TRINITY_DN11344_c0_g11|Tdu_TRINITY_DN17039_c4_g3	29.18887628528	0.682657184698576	0.286752250394876	2.38065153371425	0.0172820514360139	0.0894973997226301
Tpr_TRINITY_DN11345_c0_g6|Tdu_TRINITY_DN18972_c1_g5	58.3172459360442	0.308251247473504	0.257777169679908	1.19580507403457	0.231772635389321	0.466333985583969
Tpr_TRINITY_DN11348_c2_g11|Tdu_TRINITY_DN19985_c7_g1	70.8023707011588	0.173384326787309	0.290569757162172	0.596704655297423	0.550704583961788	0.755168334882372
